episode,reward,outcome,duration,steps,total_steps,buffer_size,avg_critic_loss,avg_actor_loss
1445,216.53790512862787,1,14.50787901878357,110,552248,552248,2.320256700299003,36.212229225852276
1446,-107.97743937265652,4,80.71330285072327,623,552871,552871,2.123027623465126,36.18570536556825
1447,-182.2897478097202,2,48.723652839660645,377,553248,553248,2.182761697775489,36.156962366888315
1448,-190.54217670742534,2,22.462520360946655,170,553418,553418,2.1733339285149293,36.184356330422794
1449,-193.64752280643032,2,16.665563821792603,126,553544,553544,2.139045674176443,36.4962416149321
1450,193.95806951401838,1,19.965763568878174,153,553697,553697,2.141040147519579,35.95867810218163
1451,-167.50918592203726,2,37.49643921852112,283,553980,553980,2.1711759489332407,36.073018832257276
1452,-208.50811128892167,2,75.88739657402039,591,554571,554571,2.1828809689144193,36.11319473189146
1453,-53.38902863007545,4,80.68660140037537,621,555192,555192,2.146584737703996,36.15972458106884
1454,-171.26960542586303,2,24.679662227630615,186,555378,555378,2.2639964479272083,35.95034872075563
1455,-170.48949626214886,2,12.632349014282227,97,555475,555475,2.0155967523142233,36.009654172917
1456,210.58221981120266,1,5.270596981048584,39,555514,555514,2.059587992154635,36.429767902080826
1457,216.16993296283457,1,11.061859846115112,83,555597,555597,2.096691918660359,35.74038893917957
1458,-177.83214200921788,2,41.81354236602783,323,555920,555920,2.300598938767755,36.029236772850204
1459,-219.97807168045702,2,67.88800168037415,519,556439,556439,2.208724217607796,36.03061003492058
1460,-204.30908040539046,2,6.727685213088989,50,556489,556489,2.354806408882141,36.18493881225586
1461,229.76424919344672,1,8.790346145629883,67,556556,556556,2.2017556304362285,36.127696079994315
1462,229.90676809463932,1,4.015856504440308,30,556586,556586,2.1296907822291056,36.119991811116535
1463,-54.13090980698129,4,80.71289491653442,626,557212,557212,2.130301111898483,36.05822532093182
1464,218.90793203394438,1,7.072555780410767,53,557265,557265,2.1110534937876575,36.14756127123563
1465,-208.47005537367474,2,70.3405430316925,537,557802,557802,2.1306922192680102,36.03894848530519
1466,-191.30508652955902,2,5.641645908355713,43,557845,557845,2.2341561040212943,36.181366144224654
1467,-247.15116578672396,2,13.066989183425903,101,557946,557946,2.2081295676750714,35.55530850249942
1468,235.5204454006876,1,7.41291356086731,56,558002,558002,2.1158497716699327,35.896973609924316
